Filename,Task,Strain,MomGenotype,DadGenotype,SSPsyGene_number,Animal_ID,Sex,Genotype,DOB,FED3,Start_Date,StartWeight,EndWeight
FED175_062424_00,Bandit100,NF1,NF1-ST18,,,6949-10,m,Wt,11/21/2023,175,06/24/2024,,
FED175_070824_00,Bandit80,NF1,NF1-ST18,,,6949-10,m,Wt,11/21/2023,175,06/24/2024,,
FED251_082724_00,Bandit100,NF1,NF1-1809,,,6961-4,f,Wt,1/12/2024,251,08/27/2024,,
FED251_090224_00,Bandit80,NF1,NF1-1809,,,6961-4,f,Wt,1/12/2024,251,08/27/2024,,
FED252_071524_00,Bandit100,NF1,NF1-1809,,,6955-11,f,Wt,1/12/2024,252,07/15/2024,,
FED252_072424_00,Bandit80,NF1,NF1-1809,,,6955-11,f,Wt,1/12/2024,252,07/15/2024,,
FED253_071524_00,Bandit100,NF1,NF1-1809,,,6955-12,f,Wt,1/12/2024,253,07/15/2024,,
FED253_072724_00,Bandit80,NF1,NF1-1809,,,6955-12,f,Wt,1/12/2024,253,07/15/2024,,
FED254_071524_00,Bandit100,NF1,NF1-1809,,,6955-15,f,Wt,1/12/2024,254,07/15/2024,,
FED254_072424_00,Bandit80,NF1,NF1-1809,,,6955-15,f,Wt,1/12/2024,254,07/15/2024,,
FED261_071524_00,Bandit100,NF1,NF1-ST18,,,6953-18,f,Wt,1/19/2024,261,07/15/2024,,
FED261_072424_00,Bandit80,NF1,NF1-ST18,,,6953-18,f,Wt,1/19/2024,261,07/15/2024,,
FED262_071524_00,Bandit100,NF1,NF1-ST18,,,6953-20,f,Wt,1/19/2024,262,07/15/2024,,
FED262_072424_00,Bandit80,NF1,NF1-ST18,,,6953-20,f,Wt,1/19/2024,262,07/15/2024,,
FED263_081224_00,Bandit100,NF1,NF1-ST18,,,6953-22,f,Wt,1/19/2024,263,08/12/2024,,
FED263_081924_00,Bandit80,NF1,NF1-ST18,,,6953-22,f,Wt,1/19/2024,263,08/12/2024,,
FED264_081224_00,Bandit100,NF1,NF1-1809,,,6959-27,f,Wt,1/19/2024,264,08/12/2024,,
FED264_081924_00,Bandit80,NF1,NF1-1809,,,6959-27,f,Wt,1/19/2024,264,08/12/2024,,
FED291_082724_00,Bandit100,NF1,NF1-1809,,,6961-1,m,Wt,1/12/2024,291,08/27/2024,,
FED291_090224_00,Bandit80,NF1,NF1-1809,,,6961-1,m,Wt,1/12/2024,291,08/27/2024,,
FED292_082724_00,Bandit100,NF1,NF1-1809,,,6961-2,m,Wt,1/12/2024,292,08/27/2024,,
FED292_090224_00,Bandit80,NF1,NF1-1809,,,6961-2,m,Wt,1/12/2024,292,08/27/2024,,
FED293_082624_00,Bandit100,NF1,NF1-1809,,,6955-9,m,Wt,1/12/2024,293,08/26/2024,,
FED293_090124_00,Bandit80,NF1,NF1-1809,,,6955-9,m,Wt,1/12/2024,293,08/26/2024,,
FED294_082724_00,Bandit100,NF1,NF1-ST18,,,6953-16,m,Wt,1/19/2024,294,08/27/2024,,
FED294_090224_00,Bandit80,NF1,NF1-ST18,,,6953-16,m,Wt,1/19/2024,294,08/27/2024,,
FED295_082724_00,Bandit100,NF1,NF1-ST18,,,6953-21,m,Wt,1/19/2024,295,08/27/2024,,
FED295_090224_00,Bandit80,NF1,NF1-ST18,,,6953-21,m,Wt,1/19/2024,295,08/27/2024,,
FED301_082724_00,Bandit100,NF1,NF1-ST18,,,6952-23,m,Wt,1/23/2024,301,08/27/2024,,
FED301_090224_00,Bandit80,NF1,NF1-ST18,,,6952-23,m,Wt,1/23/2024,301,08/27/2024,,
FED302_090924_00,Bandit100,NF1,NF1-1809,,,6958-40,m,Wt,1/19/2024,302,09/09/2024,,
FED302_091724_00,Bandit80,NF1,NF1-1809,,,6958-40,m,Wt,1/19/2024,302,09/09/2024,,
FED303_090824_00,Bandit100,NF1,NF1-1809,,,6958-43,m,Wt,1/19/2024,303,09/08/2024,,
FED303_091624_00,Bandit80,NF1,NF1-1809,,,6958-43,m,Wt,1/19/2024,303,09/08/2024,,
FED304_090924_00,Bandit100,NF1,NF1-1809,,,6956-50,m,Wt,1/12/2024,304,09/09/2024,,
FED304_091724_00,Bandit80,NF1,NF1-1809,,,6956-50,m,Wt,1/12/2024,304,09/09/2024,,
FED305_090924_00,Bandit100,NF1,NF1-1809,,,6956-51,m,Wt,1/12/2024,305,09/09/2024,,
FED305_091724_00,Bandit80,NF1,NF1-1809,,,6956-51,m,Wt,1/12/2024,305,09/09/2024,,
